vendor_code,name,description,brand,series,color,package_type,package_qty,minibox_qty,purpose,for_entry_doors,for_interior_doors,mounting_type,backset,center_distance,bolt_type,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,lock_cylinder_hole,square_hole_size,plate_width,plate_height,plate_thickness,body_width,body_height,body_depth
00003304,Замок врезной Apecs 1026/60-G,"Описание серии Замки Apecs серии 10 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 61,5 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках 1023/60 и 1027/60 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1026/60,G,box,16,,general,yes,yes,faceplate,40.0,61.5,cylindrical,3,18.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011370,Замок врезной Apecs 6000-CR,"Описание серии Врезные замки для межкомнатных дверей. 
Рекомендации по использованию с другими товарами (приобретаются отдельно):  
- ручки дверные Avers H-0661; 
 - цилиндровый механизм или фиксатор Apecs, Avers WC-0608; 
- накладки пустые, сувальдные или цилиндровые Apecs, Avers серий 06. 
- ответная планка  Apecs BP-0045 или ответная планка Apecs BP-0068 (для дверей ""с четвертью"" - с притвором).",Apecs,6000,CR,pack,45,,interior doors with notch,no,yes,screws,45.0,72.0,classic/rectangular,,15.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00020395,Замок врезной противопожарный Apecs 3000-ZN,"Описание серии Противопожарные замки Apecs с межосевым расстоянием 72 мм предназначены для установки в сертифицированные деревянные и металлические противопожарные двери. 
Замки сертифицированы согласно российского ГОСТ  5089-2011 по 2 или 3 классу (в зависимости от модели). 
Основные особенности противопожарных замков:  
- оцинкованный стальной корпус; 
- механика не содержит легкоплавких деталей; 
- лицевая  планка выполнена из оцинкованной или  
нержавеющей стали. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- механизм секретности 2 или 3  класса согласно ГОСТ и выше (в зависимости от класса модели замка согласно ГОСТ); 
- ответные планки Apecs BP-1900, BP- 3000 или BP-8300 (в зависимости от модели замка); 
- ручки на планке Apecs под евроцилиндр с межосевым расстоянием 72 мм., 
-раздельные ручки в комплекте с накладками цилиндровыми - H-0203-BL (DP-C-02), совместно с переходником Apecs 8/9 мм.,( для замков 1900,2000,3000) 
- раздельные ручки Apecs H-02XX-INOX  с накладками цилиндровыми  Apecs DP-C-02-INOX совместно с переходником Apecs 8/9 мм. ( для замков 1900,2000,3000)",Apecs,3000,,pack,24,,fireproof,yes,,bolts,65.0,0.0,classic/rectangular,,14.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00015440,Замок врезной Apecs 1523/60-G,"Описание серии Замки Apecs серии 15 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1523/60,G,box,20,,general,yes,yes,faceplate,45.0,70.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00012081,Замок врезной Apecs 1330/60-AB,"Описание серии Замки Apecs серии 13 - универсальные врезные замки под ручку и евроцилиндр для деревянных и  металлических входных дверей с межосевым расстоянием 80 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1330/60,AB,box,16,,general,yes,yes,faceplate,40.0,80.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00015580,Замок врезной Apecs 2223/60-CR,"Описание серии Замки Apecs серии 22 -  универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 85 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках серии 22 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,2223/60,CR,box,10,,general,yes,yes,faceplate,45.0,85.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00020328,Замок для роллет Apecs RSL-30x120,"Описание серии Накладной замок для роллет. Устанавливается в полотно рольставни, обычно в ее нижнюю панель.",Apecs,30,,pack,50,,roller shutter locks,,,,0.0,0.0,,,26.0,0.0,cylindrical,,3,,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00020066,"Замок врезной сувальдный Avers R12/S6-CR (5 keys, shank 50mm)","Описание серии Врезные сувальдные замки для деревянных и легких металлических дверей, технических дверей, дверей подсобных помещений. Ответная планка и декоративные накладки на сувальдный ключ: в комплекте.",Avers,12/,CR,pack,40,,general,yes,no,faceplate,50.5,0.0,cylindrical,3,21.0,10.5,sdeadbolt with double bit,,5,,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00025706,Замок врезной Apecs 7300-25-NIS,"Описание серии Врезные замки для дверей из алюминиевого профиля. 
Ассортимент представлен моделями с роликовым фиксатором (индекс ""R"")  и моделями под ручку с фалевой защелкой. Универсальная фалевая защелка. Роликовый фиксатор регулируется по вылету от 0 до 8 мм. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Замки с фалевой защелкой комплектуются ответной планкой. 
Замки с роликовым фиксатором комплектуются ответной планкой и декоративными накладками на цилиндр. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- механизм секретности  2 класса согласно ГОСТ и выше; 
-  00017881 ручки дверные Apecs H-0903-INOX; 
- 00017882 накладки цилиндровые Apecs DP-C-09-INOX; 
- 00027547 ответная планка Apecs BP-7000-ZN.",Apecs,7300,NI,pack,30,,aluminum profile doors,yes,yes,faceplate,25.0,85.0,classic/rectangular,,15.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00028791,Замок врезной Avers T-0523-C-CR-L,"Описание серии Замки врезные  для входных металлических дверей. 
Замки T-0523-C-L/R - замки врезные для входных металлических дверей, с ручками на планке и дополнительной задвижкой, без цилиндрового механизма. Рекомендуемая толщина двери: 40 - 60 мм. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- цилиндровый механизм. 
Замок T-42 - замок врезной для легких входных металлических дверей под ручку и евроцилиндр.  
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- цилиндровый механизм; 
- ручки на планке под евроцилиндр с межосевым расстоянием 85 мм; 
- ручки раздельные совместно с цилиндровыми накладками: 
- ручки раздельные совместно с броненакладками или защитными накладками на цилиндровый механизм. 
Замок  T-47/S6-CR - замок врезной под сувальдный ключ.  
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- накладки сувальдные. 
Замок T-32 - замок врезной для входных металлических дверей под ручку и евроцилиндр.  
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- цилиндровый механизм; 
- ручки на планке под евроцилиндр с межосевым расстоянием 85 мм; 
- ручки раздельные совместно с цилиндровыми накладками: 
- ручки раздельные совместно с броненакладками или защитными накладками на цилиндровый механизм. 
Замок  T-37/S6-CR - замок врезной под сувальдный ключ.  
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- накладки сувальдные.",Avers,0523,CR,box,10,,general,yes,no,faceplate,60.0,80.0,cylindrical,3,25.0,18.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
