vendor_code,name,brand,series,color,backset,center_distance,package_type,purpose,mounting_type,bolt_type,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material
Замок врезной Apecs 1026_60-G,Замок врезной Apecs 1026/60-G,Apecs,1026/60,G,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 6000-CR,Замок врезной Apecs 6000-CR,Apecs,6000,CR,45 мм,72 мм,Пакет,Межкомнатные двери с четвертью,Саморезы,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной противопожарный Apecs 3000-ZN,Замок врезной противопожарный Apecs 3000-ZN,Apecs,3000,,65 мм,,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,14 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1523_60-G,Замок врезной Apecs 1523/60-G,Apecs,1523/60,G,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1330_60-AB,Замок врезной Apecs 1330/60-AB,Apecs,1330/60,AB,40 мм,80 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 2223_60-CR,Замок врезной Apecs 2223/60-CR,Apecs,2223/60,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок для роллет Apecs RSL-30x120,Замок для роллет Apecs RSL-30x120,Apecs,30,,,,Пакет,Замки для роллет,,,,26 мм,,Цилиндровый,,3 шт,,,
"Замок врезной сувальдный Avers R12_S6-CR (5 keys, ","Замок врезной сувальдный Avers R12/S6-CR (5 keys, shank 50mm)",Avers,12/,CR,50.5 мм,,Пакет,Общее,Лицевая планка,Цилиндрические,3,21 мм,10.5 мм,Сувальдный с двойной бородкой,,5 шт,,,
Замок врезной Apecs 7300-25-NIS,Замок врезной Apecs 7300-25-NIS,Apecs,7300,NI,25 мм,85 мм,Пакет,Двери из алюминиевого профиля,Лицевая планка,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers T-0523-C-CR-L,Замок врезной Avers T-0523-C-CR-L,Avers,0523,CR,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,25 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 6000-W,Замок врезной Apecs 6000-W,Apecs,6000,,45 мм,72 мм,Пакет,Межкомнатные двери с четвертью,Саморезы,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 95_60-G,Замок врезной Apecs 95/60-G,Apecs,95/60,G,40 мм,,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 6000-G,Замок врезной Apecs 6000-G,Apecs,6000,G,45 мм,72 мм,Пакет,Межкомнатные двери с четвертью,Саморезы,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 2200_60-CR,Замок врезной Apecs 2200/60-CR,Apecs,2200/60,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 7000-45-NI,Замок врезной Apecs 7000-45-NI,Apecs,7000,NI,45 мм,92 мм,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 0823_60-AB,Замок врезной Avers 0823/60-AB,Avers,0823/60,AB,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 1223_60-AB,Замок врезной Avers 1223/60-AB,Avers,1223/60,AB,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 1223_60-AC,Замок врезной Apecs 1223/60-AC,Apecs,1223/60,AC,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
