vendor_code,name,brand,series,color,backset,center_distance,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,mounting_type,purpose,package_type
Замок врезной Apecs 1026_60-G,Замок врезной Apecs 1026/60-G,Apecs,1026/60,G,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 6000-CR,Замок врезной Apecs 6000-CR,Apecs,6000,CR,45.0,72.0,,15,,cylindrical,,,not included,,,screws,interior doors with notch,pack
Замок врезной противопожарный Apecs 3000-ZN,Замок врезной противопожарный Apecs 3000-ZN,Apecs,3000,,65.0,0.0,,14,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Apecs 1523_60-G,Замок врезной Apecs 1523/60-G,Apecs,1523/60,G,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1330_60-AB,Замок врезной Apecs 1330/60-AB,Apecs,1330/60,AB,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 2223_60-CR,Замок врезной Apecs 2223/60-CR,Apecs,2223/60,CR,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок для роллет Apecs RSL-30x120,Замок для роллет Apecs RSL-30x120,Apecs,30,,0.0,0.0,,26,,cylindrical,,3,,,,,roller shutter locks,pack
"Замок врезной сувальдный Avers R12_S6-CR (5 keys, ","Замок врезной сувальдный Avers R12/S6-CR (5 keys, shank 50mm)",Avers,12/,CR,50.5,0.0,3,21,10.5,sdeadbolt with double bit,,5,,,,faceplate,general,pack
Замок врезной Apecs 7300-25-NIS,Замок врезной Apecs 7300-25-NIS,Apecs,7300,NI,25.0,85.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Avers T-0523-C-CR-L,Замок врезной Avers T-0523-C-CR-L,Avers,0523,CR,60.0,80.0,3,25,18,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 6000-W,Замок врезной Apecs 6000-W,Apecs,6000,,45.0,72.0,,15,,cylindrical,,,not included,,,screws,interior doors with notch,pack
Замок врезной Apecs 95_60-G,Замок врезной Apecs 95/60-G,Apecs,95/60,G,40.0,0.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 6000-G,Замок врезной Apecs 6000-G,Apecs,6000,G,45.0,72.0,,15,,cylindrical,,,not included,,,screws,interior doors with notch,pack
Замок врезной Apecs 2200_60-CR,Замок врезной Apecs 2200/60-CR,Apecs,2200/60,CR,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 7000-45-NI,Замок врезной Apecs 7000-45-NI,Apecs,7000,NI,45.0,92.0,,20,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
Замок врезной Avers 0823_60-AB,Замок врезной Avers 0823/60-AB,Avers,0823/60,AB,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Avers 1223_60-AB,Замок врезной Avers 1223/60-AB,Avers,1223/60,AB,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 1223_60-AC,Замок врезной Apecs 1223/60-AC,Apecs,1223/60,AC,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 2227_60-G_GM,Замок врезной Apecs 2227/60-G/GM,Apecs,2227/60,G,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
